"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Alert Test","chromium","2026-08-22","skipped","2026-08-22","","08alerts.spec.ts","",""
"","0","test 2","chromium","2026-08-22","skipped","2026-08-22","","21tagging.spec.ts","",""
"","22","Delete Object","chromium","2026-08-29","failed","2026-08-29","","ApiTest.spec.ts","",""
"","0","Place order for the user ADIDAS ORIGINAL","chromium","2026-08-22","skipped","2026-08-22","Place order for the user ADIDAS ORIGINAL","23parameterization.spec.ts","",""
"","0","Selecting Option from Dropdown","chromium","2026-08-22","skipped","2026-08-22","","05multiSelectdropdown.spec.ts","",""
"","4","confirmation Alert Test","chromium","2026-09-02","skipped","2026-09-02","","08alerts.spec.ts","",""
"","0","Date Picker Test","chromium","2026-08-22","skipped","2026-08-22","","07datepicker.spec.ts","",""
"","0","test 3","chromium","2026-08-22","skipped","2026-08-22","","21tagging.spec.ts","",""
"","482","delete object using key","chromium","2026-08-30","passed","2026-08-30","","ApiTest.spec.ts","",""
"","52816","Keyboard actions","chromium","2026-09-02","passed","2026-09-02","","15fileUpload.spec.ts","",""
"","1","Test Webtables","chromium","2026-09-02","skipped","2026-09-02","","06Webtables.spec.ts","",""
"","12478","Handling Text Field","chromium","2026-08-22","failed","2026-08-22","","01textbox.spec.ts","",""
"","0","Title1","chromium","2026-08-22","skipped","2026-08-22","","example.spec.ts","",""
"","1","Mouse Actions Test","chromium","2026-08-22","skipped","2026-08-22","","11mouseActions.spec.ts","",""
"","0","Verify Logout orangeHRM","chromium","2026-08-22","skipped","2026-08-22","Group orangeHRM Tests","19purchase.spec.ts","",""
"","0","Nested Frames Test","chromium","2026-08-22","skipped","2026-08-22","","10frames.spec.ts","",""
"","0","Login to client Application","chromium","2026-08-22","skipped","2026-08-22","","24purchasepom.spec.ts","",""
"","1","New Tab Window Test","chromium","2026-08-22","skipped","2026-08-22","","09multiplewindows.spec.ts","",""
"","13819","Clicking on Button","chromium","2026-08-22","failed","2026-08-22","","02click.spec.ts","",""
"","0","test 1","chromium","2026-08-22","skipped","2026-08-22","","21tagging.spec.ts","",""
"","0","download files","chromium","2026-08-22","skipped","2026-08-22","","16download.spec.ts","",""
"","60849","Multiple Windows Test","chromium","2026-09-02","passed","2026-09-02","","09multiplewindows.spec.ts","",""
"","41612","Keyboard actions","chromium","2026-09-02","passed","2026-09-02","","14keyboard.spec.ts","",""
"","25","Update the Object","chromium","2026-08-29","failed","2026-08-29","","ApiTest.spec.ts","",""
"","55352","Scroll","chromium","2026-09-02","passed","2026-09-02","","12scroll.spec.ts","",""
"","35283","download files","chromium","2026-09-02","failed","2026-09-02","","16download.spec.ts","",""
"","1","test","chromium","2026-08-22","skipped","2026-08-22","","codegen.spec.ts","",""
"","0","Place order for the user ZARA COAT 3","chromium","2026-08-22","skipped","2026-08-22","Place order for the user ZARA COAT 3","23parameterization.spec.ts","",""
"","0","test 1","chromium","2026-08-22","skipped","2026-08-22","","20hooks.spec.ts","",""
"","395","Post Request","chromium","2026-08-23","passed","2026-08-23","","1ApiPost.spec.ts","",""
"","58960","prompt Alert Test","chromium","2026-09-02","passed","2026-09-02","","08alerts.spec.ts","",""
"","1","login orangeHRM","chromium","2026-08-22","skipped","2026-08-22","Group orangeHRM Tests","19purchase.spec.ts","",""
"","38687","Nested Frames Test","chromium","2026-09-02","passed","2026-09-02","","10frames.spec.ts","",""
"","643","post api with key","chromium","2026-08-30","passed","2026-08-30","","ApiTest.spec.ts","",""
"","1","Multiple Windows Test","chromium","2026-08-22","skipped","2026-08-22","","09multiplewindows.spec.ts","",""
"","1","Alert Test","chromium","2026-09-02","skipped","2026-09-02","","08alerts.spec.ts","",""
"","21898","Login to client Application","chromium","2026-09-02","passed","2026-09-02","","22purchase.spec.ts","",""
"","0","screenshot","chromium","2026-08-22","skipped","2026-08-22","","13screenshot.spec.ts","",""
"","40132","Clicking on Button","chromium","2026-09-02","passed","2026-09-02","","03rdbuttons.spec.ts","",""
"","0","Shadowdom Handling","chromium","2026-08-22","skipped","2026-08-22","","17shadow.spec.ts","",""
"","138","Put Request","chromium","2026-08-23","passed","2026-08-23","","1ApiPost.spec.ts","",""
"","172","Update data with key","chromium","2026-08-30","passed","2026-08-30","","ApiTest.spec.ts","",""
"","5","Selecting Option from Dropdown","chromium","2026-09-02","skipped","2026-09-02","","05multiSelectdropdown.spec.ts","",""
"","2","test 4","chromium","2026-08-22","skipped","2026-08-22","","21tagging.spec.ts","",""
